model: 10.65M params (10.62M non-emb)
           eval | train 0.1349 | val 3.5311
iter   2510 | loss 0.1260 | lr 3.37e-04 | 353.9 ms/it | 46.3k tok/s
iter   2520 | loss 0.1345 | lr 3.35e-04 | 85.2 ms/it | 192.2k tok/s
iter   2530 | loss 0.1353 | lr 3.33e-04 | 85.2 ms/it | 192.3k tok/s
iter   2540 | loss 0.1285 | lr 3.32e-04 | 85.3 ms/it | 192.2k tok/s
iter   2550 | loss 0.1315 | lr 3.30e-04 | 85.2 ms/it | 192.3k tok/s
iter   2560 | loss 0.1326 | lr 3.28e-04 | 85.2 ms/it | 192.3k tok/s
iter   2570 | loss 0.1360 | lr 3.27e-04 | 85.2 ms/it | 192.3k tok/s
iter   2580 | loss 0.1298 | lr 3.25e-04 | 85.2 ms/it | 192.2k tok/s
iter   2590 | loss 0.1282 | lr 3.23e-04 | 85.3 ms/it | 192.1k tok/s
iter   2600 | loss 0.1264 | lr 3.21e-04 | 85.3 ms/it | 192.1k tok/s
iter   2610 | loss 0.1211 | lr 3.20e-04 | 85.2 ms/it | 192.3k tok/s
iter   2620 | loss 0.1272 | lr 3.18e-04 | 85.2 ms/it | 192.3k tok/s
iter   2630 | loss 0.1293 | lr 3.16e-04 | 85.2 ms/it | 192.3k tok/s
iter   2640 | loss 0.1204 | lr 3.14e-04 | 85.2 ms/it | 192.3k tok/s
iter   2650 | loss 0.1304 | lr 3.13e-04 | 85.2 ms/it | 192.3k tok/s
iter   2660 | loss 0.1246 | lr 3.11e-04 | 85.2 ms/it | 192.3k tok/s
iter   2670 | loss 0.1253 | lr 3.09e-04 | 85.2 ms/it | 192.3k tok/s
iter   2680 | loss 0.1262 | lr 3.08e-04 | 85.2 ms/it | 192.4k tok/s
iter   2690 | loss 0.1244 | lr 3.06e-04 | 85.2 ms/it | 192.2k tok/s
iter   2700 | loss 0.1179 | lr 3.04e-04 | 85.2 ms/it | 192.2k tok/s
iter   2710 | loss 0.1265 | lr 3.02e-04 | 85.2 ms/it | 192.3k tok/s
iter   2720 | loss 0.1198 | lr 3.01e-04 | 85.2 ms/it | 192.3k tok/s
iter   2730 | loss 0.1225 | lr 2.99e-04 | 85.2 ms/it | 192.2k tok/s
iter   2740 | loss 0.1219 | lr 2.97e-04 | 85.2 ms/it | 192.3k tok/s
iter   2750 | loss 0.1256 | lr 2.95e-04 | 85.3 ms/it | 192.1k tok/s
           eval | train 0.1196 | val 3.6850
iter   2760 | loss 0.1190 | lr 2.94e-04 | 353.9 ms/it | 46.3k tok/s
iter   2770 | loss 0.1130 | lr 2.92e-04 | 85.2 ms/it | 192.2k tok/s
iter   2780 | loss 0.1172 | lr 2.90e-04 | 85.2 ms/it | 192.3k tok/s
iter   2790 | loss 0.1146 | lr 2.89e-04 | 85.2 ms/it | 192.2k tok/s
iter   2800 | loss 0.1202 | lr 2.87e-04 | 85.3 ms/it | 192.1k tok/s
iter   2810 | loss 0.1141 | lr 2.85e-04 | 85.3 ms/it | 192.2k tok/s
iter   2820 | loss 0.1280 | lr 2.83e-04 | 85.2 ms/it | 192.2k tok/s
iter   2830 | loss 0.1190 | lr 2.82e-04 | 85.2 ms/it | 192.3k tok/s
iter   2840 | loss 0.1153 | lr 2.80e-04 | 85.2 ms/it | 192.3k tok/s
iter   2850 | loss 0.1117 | lr 2.78e-04 | 85.2 ms/it | 192.2k tok/s
iter   2860 | loss 0.1109 | lr 2.77e-04 | 85.2 ms/it | 192.2k tok/s
iter   2870 | loss 0.1169 | lr 2.75e-04 | 85.2 ms/it | 192.2k tok/s
iter   2880 | loss 0.1068 | lr 2.73e-04 | 85.2 ms/it | 192.3k tok/s
iter   2890 | loss 0.1171 | lr 2.72e-04 | 85.2 ms/it | 192.4k tok/s
